k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12;k13;k14;k15;k16;k17;k18;k19;k20;k21;k22;k23;k24;k25
FFFFFFFF77F85101;20D55301;FFFFFFFFCE4CB201;FFFFFFFFD613AE01;FFFFFFFF82712A01;D067C401;52A1E001;FFFFFFFFADC77601;63BA8601;FFFFFFFFA275CC01;BD228001;FFFFFFFFC43EE601;322C4401;892DE701;FFFFFFFFE1C30201;FFFFFFFF8D2D2501;1BC64A01;FFFFFFFFBCC8AC01;47C8D101;33A31601;F7E4BF01;FFFFFFFFF54F5201;91049701;FFFFFFFF1370A001;FFFFFFFFD12AEE01
BE6AE901;FFFFFFFF721E2901;FF123C01;7C5CA001;BB33C501;FFFFFFFFE26911C1;FFFFFFFF87ABBC01;4F8A0001;FFFFFFFFFE417001;FFFFFFFFF3CF0801;FFFFFFFFA3076801;C376501;FFFFFFFF347D9201;1CE94F01;8B144001;A82B8601;FFFFFFFF8D328E01;1986A01;FFFFFFFF66DBF601;FFFFFFFFFD564001;365AF601;FFFFFFFF9D2E5E01;1EF8201;3FF95201;FFFFFFFFEEB45901
D7A9201;FFFFFFFFD78FC7C1;2B44CE01;FFFFFFFFB99C4001;E97E6501;1A763E01;FFFFFFFFEBA41101;6DCF8801;FFFFFFFF4C101801;B5692E01;44FC4801;FFFFFFFFF8BF5641;FFFFFFFF92F73E01;2C6FF01;E1F38B01;2BCE6701;792A3801;FFFFFFFFC51ECE01;A7AA3B01;FFFFFFFF63E4FA01;FFFFFFFFB0FE1001;FFFFFFFF68DD3601;FFFFFFFFD58119C1;FFFFFFFF8E2F1201;FFFFFFFF809CA401
FFFFFFFF9133A001;9498A01;602E6001;96DB9501;D9207301;4EA96D01;FFFFFFFFFADCE101;FFFFFFFFEC7DD801;4A122601;CBBF001;FFFFFFFFE8322041;FFFFFFFFE148C401;FFFFFFFFC22EF601;648DC801;FFFFFFFFF9760601;E4C3201;6AF53A01;626CC801;582AFA01;FFFFFFFF38223901;A5415201;FFFFFFFFD4F1BA01;3330F001;FFFFFFFFF5433201;FFFFFFFFD71DB601
FFFFFFFF750B9E01;98909C01;FFFFFFFF0FA47001;42C57601;C0CF8501;37B24A01;36B47201;FFFFFFFFAEBE6601;66679001;FFFFFFFFA271D601;3F46E401;FFFFFFFF6612C401;FFFFFFFF27E6C201;B39DCC01;8AFAC801;493A7401;6F495401;FFFFFFFFE8311C01;FFFFFFFF62598401;FFFFFFFFAA490C01;FFFFFFFFFCAFDA01;FFFFFFFFE36AE801;D7EA01;FFFFFFFF8721FC01;FFFFFFFF3B820E01
6F373A01;FFFFFFFF0EA78501;1F68C401;4D76E801;28798C01;FFFFFFFFDA100401;FFFFFFFFA27FF401;919B7B01;73B1101;FFFFFFFF235F4E01;947CA01;7BC1E801;FFFFFFFFEC77D841;FFFFFFFFD0265C01;D7800001;AC646A01;40E77E01;AF877D01;FFFFFFFFCD413601;39E9E001;FFFFFFFFA7BB2401;FFFFFFFFA6CF3401;5070AB01;FFFFFFFFD9D7F901;FFFFFFFFF8425C41
FFFFFFFFC0AB5701;41AE3801;FFFFFFFF6CEC0F01;FFFFFFFFCF691A01;FFFFFFFFC39ADA01;FFFFFFFFB344C901;FFFFFFFFDA0B7001;8358401;FFFFFFFFEFAA7A01;FFFFFFFF5E9B8001;FFFFFFFF1DF78C01;29B7FA01;FFFFFFFFA7825201;8D285A01;76958401;FFFFFFFFF5759401;FFFFFFFFF1D20201;FFFFFFFF9401AC01;FFFFFFFFE230C601;FFFFFFFF91191601;FC37501;FFFFFFFFF40BC001;9AAC1B01;F9A73C01;2DE0C801
EE8FEB01;FFFFFFFF9097AE01;464D5201;FFFFFFFF9AC15001;FFFFFFFF98008C01;FFFFFFFFEC522201;FFFFFFFFB011DC01;FFFFFFFFDF813801;FFFFFFFF57F20901;924E4501;FFFFFFFFA5ACE001;3EDEC401;35B40D01;6D1A9E01;FFFFFFFFC3B40401;34AC7A01;FFFFFFFFFFB375C1;FFFFFFFF95752001;FFFFFFFF88610201;FFFFFFFF75884101;450A5A01;FFFFFFFF84A08401;23AFDA01;3EDBD201;FFFFFFFFCE428401
7E0C001;716E9C01;B3A32E01;47484801;FFFFFFFFF65BE601;FFFFFFFFD8C59C01;FFFFFFFF64011501;FFFFFFFF55ACF701;FFFFFFFFE3808A41;FFFFFFFF7E629101;FFFFFFFF85D69A01;FFFFFFFFC19D8DC1;971F3701;FFFFFFFFCE645601;FFFFFFFFC1A41001;1C5CBC01;FFFFFFFF95B29E01;2C437801;958B0A01;1AF95E01;1702AE01;FFFFFFFFECB36801;39ED1E01;FFFFFFFFD04B8601;8B07D201
D8010F01;FFFFFFFFB105B201;1F5E2A01;D4B93101;8B3F7801;FFFFFFFFB3710001;FFFFFFFF16BD1201;B57BD801;FFFFFFFFA0A76A01;FFFFFFFFF1DCDC01;51052601;FFFFFFFFCBA8BC01;FFFFFFFF6EADBA01;FFFFFFFFB4C09601;3767C901;67212E01;FFFFFFFF83BAE801;99162601;FFFFFFFFE05CA9C1;FFFFFFFF6CDEE301;FFFFFFFFEE996E01;4EB2CC01;1C2A9401;FFFFFFFFB16D6201;FFFFFFFFA3EEFA01
FFFFFFFF763CAE01;FFFFFFFFB0829401;FFFFFFFF9BDF0A01;920BBC01;43860001;FFFFFFFFFCFEE9C1;6AD5B701;FFFFFFFFCE484C01;7C076C01;954F9401;FFFFFFFF79BE3301;FFFFFFFFF8905001;FFFFFFFFC4337641;FFFFFFFFA3C0CE01;4073FE01;55DF7801;387A8401;FFFFFFFFE0008C01;7F003C01;FFFFFFFFEEDC2A01;FB44B01;21BF3A01;6E97DC01;FFFFFFFFAC769601;FFFFFFFF8F09A801
86305401;FFFFFFFF9B1AE401;97015501;FFFFFFFFF4A97E01;447AF601;FFFFFFFFB3107001;D2897401;D2E3201;19A2EA01;1610DE01;8AA7E501;FFFFFFFFE7CD0801;FFFFFFFFBE9E7401;5BFAA201;FFFFFFFF3D02E501;FFFFFFFFE011EF01;FFFFFFFFC47EDE01;25073D01;AB8AEC01;FFFFFFFF7AA87201;FFFFFFFFD54A0A41;FFFFFFFFC2F14001;FFFFFFFFE14E8A41;FFFFFFFFEEE6E101;FFFFFFFF8CA91001
5C5BE901;28F8C601;FFFFFFFF787D9401;FFFFFFFFD7184801;FFFFFFFF362F2601;5C813E01;7D16B801;33DD1E01;C92AC01;C1D82A01;FFFFFFFFDA988C01;FFFFFFFF7C582D01;F86B201;FFFFFFFFCB840E01;FFFFFFFFA6FD6401;6B02B401;FFFFFFFF9BA78A01;6E2FC01;FFFFFFFFAA8B0C01;FFFFFFFFDAA6F901;FFFFFFFF9A771C01;FFFFFFFFA384D801;FFFFFFFF3D6F5F01;5B2201;FFFFFFFF51C98401
EFAE5001;FFFFFFFFA14E6201;FFFFFFFFEF736001;1A545E01;FFFFFFFFFBD93C01;B9289701;1FF79801;6F1A3C01;FFFFFFFFC0DF73C1;86D9601;3827A01;FFFFFFFF8576EC01;214ECE01;FFFFFFFFF0435901;18B1AA01;FFFFFFFFF5640FC1;A92CBE01;C2040301;FFFFFFFF9D985201;FFFFFFFFDE435801;FFFFFFFFF07737C1;9451FF01;FFFFFFFFA077DC01;80E6001;8B562C01
3295001;134EBE01;FFFFFFFFAAE0A601;FFFFFFFFAF48F601;3586E001;FFFFFFFFB6E01201;42D88C01;624DA801;FFFFFFFFAA508201;58B13601;FFFFFFFF93E4D401;2678101;FFFFFFFF873F3C01;51EC2401;FFFFFFFFC3338C01;3F4DF401;FFFFFFFF43ECEE01;B97C8201;FFFFFFFFC2F1F001;7DABA801;6BC12201;FFFFFFFFCF946001;FFFFFFFFE4EE4601;628F2A01;627F0601
941E0501;2BF9D701;FFFFFFFFCB81C601;551BA601;522F2201;F52A9101;BF9D3701;FFFFFFFFBF95AC01;FFFFFFFFAC47D601;393C0D01;17407A01;FFFFFFFF50203601;FFFFFFFF720A4B01;7ADD2001;1E558E01;FFFFFFFFA4A77601;FFFFFFFFE8160001;FFFFFFFFD3B13001;88E8E601;4E9EDE01;FFFFFFFF8C67BC01;9B756501;FFFFFFFF3DF85E01;FFFFFFFF88DE1A01;FFFFFFFF13F3F801
FFFFFFFFBDC1DD01;FFFFFFFF7EB6AC01;FFFFFFFFBE10EC01;FFFFFFFF8ABA4201;8DFC3001;FFFFFFFF6D055401;FFFFFFFFB6940A01;A6F93401;FFFFFFFFA1682801;4E9BCE01;FFFFFFFF663ECB01;15705801;FFFFFFFF0D0D0401;FFFFFFFF6CEA8001;56C13601;98E80801;FFFFFFFF924BA801;1877FE01;FFFFFFFFBF189601;FFFFFFFF6C32D401;FFFFFFFF6E99DC01;51646B01;38369601;63E1D201;FFFFFFFFBC465601
FFFFFFFFEA17C9C1;FFFFFFFF392AF601;FFFFFFFF9B227601;4573AE01;DF8DE601;626B2E01;55566001;26474301;FFFFFFFFD10B7B01;FFFFFFFFC0A3BC01;FFFFFFFF4D848601;FFFFFFFFECB26601;3EF26201;FFFFFFFFB3927E01;FFFFFFFFC4BBC441;673A7001;F2C3D01;FFFFFFFF819A9C01;54AD7401;92CD201;FFFFFFFFE52D8201;FFFFFFFFAF515A01;FFFFFFFF4699A401;FFFFFFFFD6C1D201;FFFFFFFF843C4401
FFFFFFFF9D1DF201;12DB3A01;FFFFFFFF93ED5201;61E01001;FFFFFFFF66F68301;73713401;8FA55C01;FFFFFFFFAB7F7101;FFFFFFFFCC8E8C01;3A89A601;24322701;3E070801;FFFFFFFF906EC601;FFFFFFFF22460601;EF2E9101;69DBE001;93BA6701;46092501;FFFFFFFFD6EB9F01;E7D9501;6F59A001;B84CBF01;FFFFFFFF55EC7001;A53E0601;FFFFFFFFF0C23841
168BB001;FFFFFFFFF6487801;D28CB801;FFFFFFFFEA7B7E01;FFFFFFFFC12B2C01;FFFFFFFF50BD5101;33A26201;385B301;9C395E01;FFFFFFFF8811D401;FFFFFFFF2292DC01;FFFFFFFF7FDD1501;403E3601;7E5D8001;FFFFFFFFBA1C3801;FFFFFFFF89B90201;FFFFFFFFFABC5601;FFFFFFFFAE9B1401;BCAABF01;91503F01;908D6101;FFFFFFFFB3D46901;FFFFFFFF53E07A01;1D0BC201;FFFFFFFF245FA601
FFFFFFFFE219F5C1;6C71C201;FFFFFFFFBAF66601;CAD0F901;B2A6EC01;20FEE401;FFFFFFFF6D08F101;FFFFFFFFB42F8001;FFFFFFFFB7AF6601;4FE30201;1B48A301;2E071F01;FFFFFFFF856E4201;FFFFFFFF39F42001;FFFFFFFF59A6E601;FFFFFFFF8DBFD001;FFFFFFFF80914001;FFFFFFFF78929201;DD62E501;FFFFFFFF53CB3401;24B4BA01;C5234C01;8485C401;FFFFFFFFC8B3B801;A14CF001
BFDF001;FFFFFFFF286F2401;3DF80A01;19995001;3625E801;A5A9F801;FFFFFFFF57A6A801;FFFFFFFF61C44901;FFFFFFFFEAEE7601;FFFFFFFFAD24C701;FFFFFFFF17048F01;13AE0601;FFFFFFFF7AA5C701;FFFFFFFF81486A01;DBCE001;5EA99401;3D5A6C01;FFFFFFFF278B8401;FFFFFFFFC9526601;CA7AA601;FFFFFFFF22971C01;32429C01;FFFFFFFF942CBA01;FFFFFFFF7F818901;FFFFFFFF8A82E601
FFFFFFFFD6F6D401;545F8C01;4DF52001;4C548501;82F0401;FFFFFFFFB9490001;33132401;BE38E01;FFFFFFFFE7D78201;FFFFFFFF42C1AA01;FFFFFFFF66B20201;14C00E01;51C92001;FFFFFFFFEE269C01;FFFFFFFFF5BB3801;24F1DC01;7B729C01;98F2A601;FFFFFFFFDC7AF301;75E73401;FFFFFFFFB53C8201;FFFFFFFF15950201;FFFFFFFF85117001;88C2F401;9D29DB01
FFFFFFFFBAD81601;FFFFFFFFEC95ED01;5FF32201;17DBD201;AC7E6B01;2FD28E01;4A701201;FFFFFFFFBF34D601;16DD4301;7DA62401;4ED91801;B9C3101;FFFFFFFF83097C01;36E49C01;FFFFFFFFD52B5F01;BA456601;FFFFFFFF74F5AE01;CABAE01;FFFFFFFFD6C8BA01;168AD601;8AA64101;FFFFFFFF08295801;11579401;6D14C201;3F2ADD01
FFFFFFFF59677101;FFFFFFFF3C3C6201;65721801;FFFFFFFFE9188E01;FFFFFFFF62B22901;9A5DDB01;FFFFFFFF8AE12A01;582B6001;FFFFFFFFEBB89E01;386A801;FFFFFFFFF4D35E01;34F52A01;92120901;FFFFFFFFAB59BA01;7F5E4401;FFFFFFFFBF938901;FFFFFFFF83CBBA01;3913F201;FFFFFFFF44BD0801;48102001;B4EF1A01;FFFFFFFFD7962F01;FFFFFFFFDE370901;FFFFFFFF77B87C01;4521B201
54DFB01;92DE9401;FFFFFFFFF3046001;90EA9701;FFFFFFFFD6A60001;49CBC601;FFFFFFFF9D9F0001;FFFFFFFF29B67901;25DFCA01;FFFFFFFFF1988401;FFFFFFFF9AA3AE01;901E5101;FFFFFFFFDBB3CA01;353A8C01;3794D201;1A494C01;FFFFFFFFE69B7001;FFFFFFFF3A054B01;FFFFFFFF13D7F601;8C4C4801;61344401;CDB801;91F47401;3FC4B601;6F06F701
7FB2D001;4625B401;FFFFFFFFCAB6E001;97986A01;FFFFFFFFE456AC01;FFFFFFFFB6F88701;59FA0C01;C6259A01;58ABEA01;FFFFFFFFEF320641;FFFFFFFFBACC1B01;FFFFFFFFFF5CBE01;2204CC01;FFFFFFFFC4370801;FFFFFFFF432F3601;FFFFFFFFC910FC01;FFFFFFFFC3289001;FFFFFFFF59B61401;387AE601;17DEE01;612FF201;D1E2D901;331D801;FFFFFFFFDC15B401;FFFFFFFF10BB2E01
FFFFFFFFE7795DC1;FFFFFFFF81C8C601;C35C1801;FFFFFFFFA0031801;6CE09A01;FFFFFFFF82B28E01;8CCA8201;FFFFFFFF29442601;FFFFFFFFBE37C401;3CAF4801;6031D401;751D7801;FFFFFFFF02E38901;B6EDC401;2E613401;9E56AF01;15874C01;412B001;FFFFFFFFED5CE401;65DB6201;6EB46201;FFFFFFFFAE0B9601;FFFFFFFFF2667A41;FFFFFFFFDDDEEFC1;4C32FA01
A109301;1BE58E01;FFFFFFFFFA13CA01;FFFFFFFFA9DFC601;FFFFFFFFBE4A1801;7524E001;FFFFFFFFD4A14001;19EA401;FFFFFFFFFDA6E001;FFFFFFFFC8765801;113F4A01;FFFFFFFFB1B6E201;25151201;FFFFFFFFB9753801;FFFFFFFF1D6BCE01;FFFFFFFF84383201;FFFFFFFFAE4BEC01;FFFFFFFFF5BAE001;FFFFFFFFAD0E3201;2B91E201;C6DE6E01;FFFFFFFFDD369701;2116F401;756B1001;FFFFFFFFDBD06601
B7E2401;7F604801;FFFFFFFF8137C601;7D060801;FFFFFFFF9ADC5001;1B6A001;DC3AD601;91DA2A01;78675C01;FFFFFFFFC4C533C1;FFFFFFFF65EA4201;49997C01;9E1AB401;FFFFFFFF71893B01;4B1D0201;FFFFFFFFD6C82401;FFFFFFFFC8A99841;FFFFFFFFBA18EE01;FFFFFFFFE4D96401;FFFFFFFFAF3FF201;5F608E01;FFFFFFFF93D1F001;FFFFFFFFC77C3401;95FF0901;A40AC301
FFFFFFFFC2BAFE41;FFFFFFFF6BBB9601;6027E401;FFFFFFFF0D871F01;8568DF01;FFFFFFFF3D9FBC01;FFFFFFFF6985C201;35738401;42BD201;1973D601;FFFFFFFFD96D8801;FFFFFFFFBB1D3401;FFFFFFFFE72DB601;2B739401;FFFFFFFFBB718401;FFFFFFFF6EF1EE01;D6847301;A91FCE01;6D9C2C01;FFFFFFFF61F76C01;C5DFC401;83EBD701;FFFFFFFF98156A01;1C57CA01;FFFFFFFFE8873C01
FFFFFFFF784E1E01;FFFFFFFF7F1FA501;FFFFFFFF20AFBC01;FFFFFFFFC9700C01;FFFFFFFF6642F701;FFFFFFFFEE415201;3B6E8601;FFFFFFFFECB8C601;8E7C301;45DD1C01;FFFFFFFF6DA04001;FFFFFFFFFF61B401;C78B1E01;2539B201;FFFFFFFF50DD1101;FFFFFFFFF34563C1;444BC801;1BA43601;24F6B001;4500F601;FFFFFFFFC9061D01;FFFFFFFFFD10BE01;14471201;FFFFFFFFC489CE01;18CCF01
FFFFFFFFFE8BC3C1;FFFFFFFFC6B04001;C59A4601;FFFFFFFF8F470401;FFFFFFFF7E7F0101;81D87E01;FFFFFFFFC96EFBC1;3955F801;E97CCD01;FFFFFFFFD14D4801;12674C01;FFFFFFFF97A4A201;58A94A01;243DDA01;FFFFFFFFFEA6D101;C1463101;55E27601;3F176801;FFFFFFFF6E65AC01;ABC09201;FFFFFFFF8EFF2A01;2E4DD601;219A7801;748C4401;495C0F01
FFFFFFFF4F121A01;FFFFFFFFE4BA2601;FFFFFFFF86EF2801;FFFFFFFFE85A1041;7EBB1801;31095F01;FFFFFFFFF18BBE01;FFFFFFFFD4725401;6DB7A601;1098F001;FFFFFFFFF9197701;7CE56C01;69020401;FFFFFFFFF9D88401;33CF0E01;FFFFFFFFC776E401;428D1401;D1077401;FFFFFFFFEE8D3C01;FFFFFFFFFEC52C01;FFFFFFFF63766201;86A7EC01;3259DA01;7B603001;FFFFFFFFF5325A01
FFFFFFFF783A7501;FFFFFFFFAD538E01;2910B01;13D01;FFFFFFFFFCDD4201;FFFFFFFFAB84D001;FFFFFFFFCEE9A201;FFFFFFFFB7213401;FFFFFFFFC1A81601;FFFFFFFFED292A01;3093F401;FFFFFFFF7FA21C01;FFFFFFFFB153E401;FFFFFFFFC146DE01;FFFFFFFFE088C601;6EF73A01;FFFFFFFFE7C6A701;FFFFFFFFA62F0301;FFFFFFFFF981DE01;6DDC6201;17C62C01;FACF8F01;3D698601;FFFFFFFFCF821701;FFFFFFFFFC71A801
1623F001;65222001;29BB401;EAE7401;8EAF1801;FFFFFFFFE79D6901;FFFFFFFFFA35B801;6100C001;FFFFFFFFFBDE1C01;FFFFFFFF7B364301;FFFFFFFFB893E801;FFFFFFFFF6346201;FFFFFFFFDACD3601;FFFFFFFFDA1AF001;E073CB01;87A67101;FFFFFFFFE1C88301;8BCE6401;FFCD0301;9DAB3501;11EFB201;8DCC5601;8C661C01;FFFFFFFFEC2C1401;FFFFFFFF997AE401
FFFFFFFFF8B12401;FFFFFFFFAD156601;FFFFFFFF96C0E601;FFFFFFFF7F6EC201;8C8D8A01;FFFFFFFF84375C01;FFFFFFFFC234D401;FFFFFFFFA91C9001;8C141B01;12A5C801;FFFFFFFF60630A01;5EE51601;FFFFFFFFE050A801;FFFFFFFFF4755041;FFFFFFFFF65C3901;FFFFFFFF46924C01;FFFFFFFF90E12601;6EA82A01;FFFFFFFF2049B601;BB686C01;1B05F501;FFFFFFFFA0859601;FFFFFFFFFE4E2201;51F05E01;FFFFFFFFFDA1D3C1
7ABB3C01;FFFFFFFFD825BC01;85EE8B01;16A16D01;FFFFFFFFBB7D5E01;FFFFFFFFFC622A01;FFFFFFFF95F7F001;FFFFFFFFF105AFC1;5AB63601;436A1E01;FFFFFFFFB66D6501;FFFFFFFFFBAD3641;FFFFFFFFF375D001;864301;FFFFFFFFFB835C01;FFFFFFFFB021E101;47442801;D0D94001;FFFFFFFFE9F04201;87384B01;FFFFFFFF87CBB001;84136301;FFFFFFFF7E25E501;FFFFFFFFFE6C7001;C81A6301
FFFFFFFF8CE18001;471AFE01;F95B0D01;BCB49501;FFFFFFFF8FDA7001;FFFFFFFFFF1DCFC1;2089ED01;28E201;FFFFFFFF6C006401;FFFFFFFFBC761001;FFFFFFFFDB94B401;5CFEBE01;FFFFFFFFA12C5F01;469BB401;B901001;FFFFFFFFE9BAC601;FFFFFFFF77425C01;357B4201;FFFFFFFFFA7E6401;FFFFFFFF1F4CB401;2860C301;F06C4601;FFFFFFFFD0490C01;FFFFFFFFE1679C01;FFFFFFFFF9BC11C1
FFFFFFFFCDEA0801;FFFFFFFF490C9901;5DBE8201;DA726601;FFFFFFFF1AE4C601;55722601;FFFFFFFFB741EE01;FFFFFFFFB5F28601;1DF4CF01;848AF501;64C79201;3DE60E01;53D15A01;13AA9601;57197201;FFFFFFFF42E10001;FFFFFFFFB0040201;FFFFFFFFA3D7E201;4A669001;459D1601;FFFFFFFF5DFF2F01;FFFFFFFFF42CB241;FFFFFFFFB2D9D601;FFFFFFFFC03D9801;CF433401
FFFFFFFFF2BF2E01;FFFFFFFF552D8001;7812A01;FFFFFFFF3173F201;FFFFFFFF6A880F01;344A8601;15B2DF01;FFFFFFFF8FDF8601;D6713D01;FFFFFFFFB9D28301;46188401;12B30E01;3DDFC001;FFFFFFFFDC66B301;FFFFFFFF6E5AC001;FFFFFFFFB3B65601;FB0C7001;3FCE6D01;FFFFFFFF2CD01C01;FFFFFFFFCB4A2001;FFFFFFFFCEF9BE01;6783C201;D8CDC701;FFFFFFFF42E8BA01;FFFFFFFFFC4FCC01
B3E44701;FFFFFFFFDC0FF601;32A5E601;FFFFFFFF5ADEEC01;9D6D3601;FFFFFFFF7DF7B301;641F9E01;FFFFFFFFF99A6201;FFFFFFFFEA4AE201;FFFFFFFFD41C6DC1;FFFFFFFFE2535E01;FFFFFFFFB76E8601;FFFFFFFFF399F401;FFFFFFFFD5936101;FFFFFFFFF24BA401;271EA401;FFFFFFFFF035FE01;96580701;A3D38D01;FFFFFFFFD76D5C01;F9269E01;B9DAAD01;A9DBEF01;18664001;FFFFFFFFA9D77901
FFFFFFFFFA741A01;94F95401;4E704001;FFFFFFFFB56AD201;D19D4C01;FFFFFFFFC9742001;FFFFFFFFD5531201;FFFFFFFF5362E001;BD59A801;FFFFFFFF43196D01;63154001;35BAE201;FFFFFFFF40407A01;FFFFFFFF9DCA5C01;FFFFFFFF627E6801;D418801;FFFFFFFF958FC601;FFFFFFFF2C3DB501;FFFFFFFFD2884041;2EE0D01;FFFFFFFF5235E001;FFFFFFFF2BB00A01;FFFFFFFFC0206601;442F1001;67FCCE01
5B204A01;B5EB401;6F6DA01;FB604701;FFFFFFFFA6C3F001;3AE0AE01;FFFFFFFF781A9E01;FFFFFFFFE66CD401;63039201;FFFFFFFFE5B60001;FFFFFFFF3D432A01;F7830001;142DC201;3A46FE01;3FF10A01;FFFFFFFFB992FE01;FFFFFFFF34D48901;FFFFFFFF50109001;72B7E01;52A99C01;A52A901;FFFFFFFF8BEBFA01;FFFFFFFFBD8B7A01;12955B01;FFFFFFFF4AA5D401
FFFFFFFFB47AAC01;FFFFFFFF61E91801;21B4C401;FFFFFFFFBE28B401;FFFFFFFF74D1AB01;FFFFFFFF87845001;FFFFFFFFE3ED9201;FFFFFFFF6353CE01;62BF201;FFFFFFFF78684701;2BE1DC01;4F588801;81B7E201;29539301;FFFFFFFFA9D07E01;FFFFFFFF5E8ACC01;8AE48301;59CE7C01;FFFFFFFF5C052F01;FFFFFFFF8816C601;FFFFFFFFE8DF5001;FFFFFFFFCC385601;A28001;97CF3701;FFFFFFFF9EC52A01
FFFFFFFF4B3AA801;FFFFFFFFBA49E801;FFFFFFFF9B54E601;885F4F01;441FEC01;FFFFFFFFD0DB7A01;45EBE901;FFFFFFFFF825A041;DC7D0F01;FBFD201;FFFFFFFF810C7401;B04FCC01;FFFFFFFF87F5B001;B83C601;64E1D401;FFFFFFFF512C3A01;769D0801;243F4801;FFFFFFFFC8A27C01;7B82001;FFFFFFFF5CCA2801;FFFFFFFF3D7C0801;FFFFFFFF5C1F2201;FFFFFFFF4F523B01;65335101
FFFFFFFF69045301;15E1E801;427C3001;71474801;FFFFFFFFFE4CE241;FFFFFFFF48FE5A01;FFFFFFFFBCEC3801;3BFCE601;FFFFFFFFE6718001;FFFFFFFFF65477C1;40F8AC01;66113201;F6D8CB01;FFFFFFFFCFBB5F01;795BE001;9A2A5F01;FFFFFFFF954D0001;FFFFFFFFBBAD0401;FFFFFFFFA1EB8601;8BA8C001;96FEC401;1E146001;FFFFFFFF81C9AC01;D47B4701;FFFFFFFF52CE3701
FFFFFFFF5A614C01;FFFFFFFFC3412A01;FFFFFFFF67611001;FFFFFFFFDBABB001;FFFFFFFF9BB2B801;FFFFFFFFF506FE41;BA87DF01;784E0801;FFFFFFFFC47EDBC1;1B0DDC01;A19DC501;28411C01;FFFFFFFFF5A23D01;FFFFFFFF4B130301;FFFFFFFFC2B65601;44EC3001;C1449401;FFFFFFFF95C78E01;4306E01;FFFFFFFF92960001;FFFFFFFFE295F3C1;8CC6F701;FFFFFFFF6AC4CD01;49CF6401;443E6C01
FFFFFFFFB5561E01;FFFFFFFFD3112A01;FFFFFFFFF5977001;FFFFFFFFC077BA01;1C8FD101;FFFFFFFF02F63401;374F7601;8D24B001;FFFFFFFFFA17BE01;6E0BA01;1C732001;879BFA01;FFFFFFFFA5CA3401;4CF90401;2AC5E801;51CB1601;3C536E01;FFFFFFFFBA51E201;FFFFFFFFB95E3C01;FFFFFFFF35C53601;FFFFFFFF34EDCF01;FFFFFFFFBA2E4001;FFFFFFFFEAF9E201;FFFFFFFFF2D2C201;63026001
FFFFFFFFD2089A01;931FD401;FFFFFFFFFA116B01;31AF4A01;FFFFFFFFA88C6001;DD92E201;EF789C01;4E36B601;FFFFFFFFF82EAD01;FFFFFFFFEFBD1001;FFFFFFFFFC04DE41;FFFFFFFFE8A17C01;C91E7B01;FFFFFFFFF820CC01;803B1601;9FC22801;6806D601;FFFFFFFFDFB521C1;FFFFFFFF81D54601;FFFFFFFFA28B5A01;58CB7C01;20906001;FFFFFFFF59AA9E01;FFFFFFFF31727101;9B3A401
FFFFFFFF89468C01;FFFFFFFFB50B1401;20C3A01;1DB4AA01;3A134C01;C6DD7D01;657BAE01;FFFFFFFF9E198601;FFFFFFFF9EDCF601;D30C6501;FFFFFFFFD060DE01;29197C01;FFFFFFFFB7E00F01;FFFFFFFFCDAA3E01;83D88701;FFFFFFFF85CF5A01;FFFFFFFF6EAAEB01;FFFFFFFF506E8001;1B43F01;FFFFFFFFC1C24A01;FFFFFFFFBE0A7C01;CCD5F501;FFFFFFFFCD378201;52DB4B01;37032201
FFFFFFFFE4DB2601;FFFFFFFF998A1A01;4EEB8001;9F503701;FFFFFFFFE27065C1;FFFFFFFFE70B9201;FFFFFFFF83202C01;FFFFFFFFB3EA3C01;4B205401;1DB95E01;FFFFFFFFA635A601;61A4B401;9F72DE01;10650A01;FFFFFFFF94CFF001;3F2C0601;FFFFFFFF8E56F401;7E62A01;FFFFFFFFEB361201;11BE4201;A1B27401;1BF9E501;1D500801;7517001;8E64EC01
FFFFFFFF98A79A01;FFFFFFFF80217601;FFFFFFFFC974E601;FFFFFFFFE7B8DC01;AF643E01;10358A01;FFFFFFFFF32BB401;48CF9801;FFFFFFFFD61ECE01;E70D5401;FFFFFFFF6B8B5C01;FFFFFFFFA354CC01;991D5701;6CA7401;32A4E801;FFFFFFFF79734E01;FFFFFFFFC0652601;996BDA01;D138601;600B9601;14F6E401;23C29401;FFFFFFFFF9B9F601;FFFFFFFF5358B001;8AEE9C01
FFFFFFFFD89FD301;AB9F0401;FFFFFFFFBC047C01;FFFFFFFF7C865A01;FFFFFFFF40CB0C01;27FA8C01;FFFFFFFFE8FF4E01;5DCC2601;FFFFFFFFCCD42601;72FB8C01;46F87E01;FFFFFFFF463AB201;27B9D601;FFFFFFFFE2AF8401;FFFFFFFF9EF37A01;FFFFFFFFF1370601;FFFFFFFFAE9F7C01;98297D01;861F0901;B7892A01;FFFFFFFFB2369A01;46FDD01;6D70901;FFFFFFFF4EE08401;77382801
